Sample_ID,Location,Date_Entered,Date_Sampled,Group,Bag_ID,WGFD_TagNum,Length_in,Weight,Scales,Age,Otoliths,Sex,WGFD_Notes,SJ_Notes,Crossed_with
SAR_21_5501,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5501 A/B,21.8,,N,,,,BBT: 17.9,,
SAR_21_5502,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5502 A/B,16.3,,N,,,,,,
SAR_21_5503,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5503 A/B,15.6,,N,,,,,,
SAR_21_5504,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5504 A/B,16.9,,N,,,,,,
SAR_21_5505,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5505 A/B,16,,N,,,,,,
SAR_21_5506,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5506 A/B,13.9,,N,,,,,,
SAR_21_5507,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5507 A/B,14.4,,N,,,,,,
SAR_21_5508,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5508 A/B,15,,N,,,,,,
SAR_21_5509,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5509 A/B,18.9,,Y,5,,,,,
SAR_21_5510,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5510 A/B,15,,N,,,,,,
SAR_21_5511,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5511 A/B,16.4,,N,,,,,,
SAR_21_5512,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5512 A/B,13.6,,N,,,,,,
SAR_21_5513,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5513 A/B,13.7,,N,,,,,,
SAR_21_5514,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5514 A/B,15.3,,N,,,,,,
SAR_21_5515,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5515 A/B,14.4,,N,,,,,,
SAR_21_5516,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5516 A/B,15.2,,N,,,,,,
SAR_21_5517,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5517 A/B,15.3,,N,,,,,,
SAR_21_5518,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5518 A/B,12.8,,N,,,,,,
SAR_21_5519,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5519 A/B,14.5,,N,,,,,,
SAR_21_5520,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5520 A/B,14.3,,N,,,,,,
SAR_21_5521,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5521 A/B,17.8,,Y,4,,,,,
SAR_21_5522,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5522 A/B,14.6,,N,,,,,,
SAR_21_5523,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5523 A/B,13.4,,N,,,,,,
SAR_21_5524,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5524 A/B,15.1,,N,,,,,,
SAR_21_5525,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5525 A/B,13.5,,N,,,,,,
SAR_21_5526,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5526 A/B,17.2,,Y,4,,,,,
SAR_21_5527,Little Wind R,10/21/23,5/13/21,F1 - Spawning,A,5527 A/B,18.9,,Y,7,,,,,
