brood,individual,type,social.parent,year
Test_F1,SAR_15_6701,offspring,0,2015
Test_F1,SAR_15_6702,offspring,0,2015
Test_F1,SAR_15_6703,offspring,0,2015
Test_F1,SAR_15_6704,offspring,0,2015
Test_F1,SAR_15_6705,offspring,0,2015
Test_F1,SAR_15_6706,offspring,0,2015
Test_F1,SAR_15_6707,offspring,0,2015
Test_F1,SAR_15_6708,offspring,0,2015
Test_F1,SAR_15_6709,offspring,0,2015
Test_F1,SAR_15_6710,offspring,0,2015
Test_F1,SAR_15_6711,offspring,0,2015
Test_F1,SAR_15_6712,offspring,0,2015
Test_F1,SAR_15_6713,offspring,0,2015
Test_F1,SAR_15_6714,offspring,0,2015
Test_F1,SAR_15_6715,offspring,0,2015
Test_F1,SAR_15_6716,offspring,0,2015
Test_F1,SAR_15_6717,offspring,0,2015
Test_F1,SAR_15_6718,offspring,0,2015
Test_F1,SAR_15_6719,offspring,0,2015
Test_F1,SAR_15_6720,offspring,0,2015
Test_F1,SAR_15_6721,offspring,0,2015
Test_F1,SAR_15_6722,offspring,0,2015
Test_F1,SAR_15_6723,offspring,0,2015
Test_F1,SAR_15_6724,offspring,0,2015
Test_F1,SAR_15_6725,offspring,0,2015
Test_F1,SAR_15_6726,offspring,0,2015
Test_F1,SAR_15_6727,offspring,0,2015
Test_F1,SAR_15_6728,offspring,0,2015
Test_F1,SAR_15_6729,offspring,0,2015
Test_F1,SAR_15_6730,offspring,0,2015
Test_F1,SAR_15_6731,offspring,0,2015
Test_F1,SAR_15_6732,offspring,0,2015
Test_F1,SAR_15_6733,offspring,0,2015
Test_F1,SAR_15_6734,offspring,0,2015
Test_F1,SAR_15_6735,offspring,0,2015
Test_F1,SAR_15_6736,offspring,0,2015
Test_F1,SAR_15_6737,offspring,0,2015
Test_F1,SAR_15_6738,offspring,0,2015
Test_F1,SAR_15_6739,offspring,0,2015
Test_F1,SAR_15_6740,offspring,0,2015
Test_F1,SAR_15_6741,offspring,0,2015
Test_F1,SAR_15_6742,offspring,0,2015
Test_F1,SAR_15_6743,offspring,0,2015
Test_F1,SAR_15_6744,offspring,0,2015
Test_F1,SAR_15_6745,offspring,0,2015
Test_F1,SAR_15_6746,offspring,0,2015
Test_F1,SAR_15_6747,offspring,0,2015
