"","year","brood","offspring","rank","dam","sire","pair","valid_cross","dam.type","sire.type","hothiphop.parents","hiphop","hot.parents","hot.dam","hot.sire","hothiphop.dam","hothiphop.sire","below.threshold","threshold","loci.dyad.dam","loci.dyad.sire","loci.triad","offspring.heterozygosity","social.mother.sampled","social.father.sampled","social.mother","social.father","condition","ranking","ranking2"
"1",2015,"Test_F1","SAR_15_6701",1,"SAR_15_6446","SAR_15_6429","SAR_15_6429_SAR_15_6446",TRUE,"within-group subordinate","within-group subordinate",143,55,88,53,38,108,93,1,99999,4833,4878,4826,0.299017601309865,0,0,NA,NA,"none","hothiphop.parents","none"
"2",2015,"Test_F1","SAR_15_6701",2,"SAR_15_6508","SAR_15_6429","SAR_15_6429_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",341,199,142,130,38,329,237,1,99999,2977,4878,2973,0.299017601309865,0,0,NA,NA,"none","hothiphop.parents","none"
"3",2015,"Test_F1","SAR_15_6701",3,"SAR_15_6437","SAR_15_6429","SAR_15_6429_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",369,196,173,158,38,354,234,1,99999,2611,4878,2609,0.299017601309865,0,0,NA,NA,"none","hothiphop.parents","none"
"4",2015,"Test_F1","SAR_15_6702",1,"SAR_15_6493","SAR_15_6495","SAR_15_6493_SAR_15_6495",TRUE,"within-group subordinate","within-group subordinate",180,89,91,66,30,155,119,1,99999,4852,4976,4836,0.293811335870218,0,0,NA,NA,"none","hothiphop.parents","none"
"5",2015,"Test_F1","SAR_15_6702",2,"SAR_15_6508","SAR_15_6495","SAR_15_6495_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",316,189,127,121,30,310,219,1,99999,3025,4976,3022,0.293811335870218,0,0,NA,NA,"none","hothiphop.parents","none"
"6",2015,"Test_F1","SAR_15_6702",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",361,204,157,121,121,325,325,1,99999,3025,4917,3005,0.293811335870218,0,0,NA,NA,"none","hothiphop.parents","none"
"7",2015,"Test_F1","SAR_15_6703",1,"SAR_15_6502","SAR_15_6510","SAR_15_6502_SAR_15_6510",TRUE,"within-group subordinate","within-group subordinate",294,221,73,52,33,273,254,1,99999,4339,4947,4329,0.361088709677419,0,0,NA,NA,"none","hothiphop.parents","none"
"8",2015,"Test_F1","SAR_15_6703",2,"SAR_15_6508","SAR_15_6510","SAR_15_6508_SAR_15_6510",FALSE,"within-group subordinate","within-group subordinate",373,274,99,86,33,360,307,1,99999,3008,4947,3003,0.361088709677419,0,0,NA,NA,"none","hothiphop.parents","none"
"9",2015,"Test_F1","SAR_15_6703",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",383,271,112,86,92,357,363,1,99999,3008,4886,2989,0.361088709677419,0,0,NA,NA,"none","hothiphop.parents","none"
"10",2015,"Test_F1","SAR_15_6704",1,"SAR_15_6426","SAR_15_6434","SAR_15_6426_SAR_15_6434",TRUE,"within-group subordinate","within-group subordinate",144,98,46,26,25,124,123,1,99999,4985,4990,4974,0.314137172565487,0,0,NA,NA,"none","hothiphop.parents","none"
"11",2015,"Test_F1","SAR_15_6704",2,"SAR_15_6426","SAR_15_6407","SAR_15_6407_SAR_15_6426",FALSE,"within-group subordinate","within-group subordinate",326,222,104,26,87,248,309,1,99999,4985,4968,4954,0.314137172565487,0,0,NA,NA,"none","hothiphop.parents","none"
"12",2015,"Test_F1","SAR_15_6704",3,"SAR_15_6508","SAR_15_6434","SAR_15_6434_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",345,213,132,122,25,335,238,1,99999,3022,4990,3020,0.314137172565487,0,0,NA,NA,"none","hothiphop.parents","none"
"13",2015,"Test_F1","SAR_15_6705",1,"SAR_15_6472","SAR_15_6449","SAR_15_6449_SAR_15_6472",TRUE,"within-group subordinate","within-group subordinate",149,113,36,15,22,128,135,1,99999,4999,4943,4930,0.337390263367917,0,0,NA,NA,"none","hothiphop.parents","none"
"14",2015,"Test_F1","SAR_15_6705",2,"SAR_15_6472","SAR_15_6401","SAR_15_6401_SAR_15_6472",FALSE,"within-group subordinate","within-group subordinate",339,249,90,15,81,264,330,1,99999,4999,4934,4921,0.337390263367917,0,0,NA,NA,"none","hothiphop.parents","none"
