ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_61 f1h_179 PO 62.05 0 NA NA NA 3 3 7889
f0_119 f1h_19 PO 59.87 0 NA NA NA 3 3 7889
f0_39 f1h_41 PO 59.57 0 NA NA NA 3 3 7889
f0_105 f1h_380 PO 59.21 0 NA NA NA 3 3 7889
f0_174 f1h_56 PO 58.77 0 NA NA NA 3 3 7889
f1w_500 f2_561 PO 58.76 0 NA NA NA 3 3 7889
f0_190 f1h_294 PO 57.92 0 NA NA NA 3 3 7889
f0_38 f1h_459 PO 57.75 0 NA NA NA 3 3 7889
f1h_262 f2_423 PO 57.7 0 NA NA NA 3 3 7889
f0_198 f1h_208 PO 57.31 0 NA NA NA 3 3 7889
f0_29 f1h_445 PO 57.23 0 NA NA NA 3 3 7889
f1h_345 f2_72 PO 57.17 0 NA NA NA 3 3 7889
f1h_2 f2_336 PO 57.07 0 NA NA NA 3 3 7889
f1w_341 f2_348 PO 56.28 0 NA NA NA 3 3 7889
f0_18 f1h_236 PO 56.25 0 NA NA NA 3 3 7889
f0_188 f1h_27 PO 56.25 0 NA NA NA 3 3 7889
f1w_189 f2_456 PO 56.22 0 NA NA NA 3 3 7889
f1h_456 f2_288 PO 56.21 0 NA NA NA 3 3 7889
f0_1 f1h_223 PO 56.18 0 NA NA NA 3 3 7889
f0_96 f1h_114 PO 56.14 0 NA NA NA 3 3 7889
f0_7 f1h_150 PO 56.03 0 NA NA NA 3 3 7889
f0_193 f1h_303 PO 55.98 0 NA NA NA 3 3 7889
f1h_481 f2_788 PO 55.74 0 NA NA NA 3 3 7889
f0_542 f1w_341 PO 55.72 0 NA NA NA 3 3 7889
f0_91 f1h_437 PO 55.68 0 NA NA NA 3 3 7889
f0_33 f1h_172 PO 55.66 0 NA NA NA 3 3 7889
f0_24 f1h_79 PO 55.62 0 NA NA NA 3 3 7889
f1w_466 f2_697 PO 55.58 0 NA NA NA 3 3 7889
f0_14 f1h_208 PO 55.56 0 NA NA NA 3 3 7889
f0_181 f1h_447 PO 55.47 0 NA NA NA 3 3 7889
f0_12 f1h_428 PO 55.44 0 NA NA NA 3 3 7889
f0_153 f1h_416 PO 55.39 0 NA NA NA 3 3 7889
f0_46 f1h_438 PO 55.37 0 NA NA NA 3 3 7889
f0_166 f1h_425 PO 55.36 0 NA NA NA 3 3 7889
f0_163 f1h_468 PO 55.22 0 NA NA NA 3 3 7889
f0_108 f1h_9 PO 55.16 0 NA NA NA 3 3 7889
