ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f1w_80 f2_203 PO 32.35 0 NA NA NA 3 3 4117
f1h_57 f2_639 PO 32.23 0 NA NA NA 3 3 4117
f0_42 f1h_479 PO 31.89 0 NA NA NA 3 3 4117
f1h_492 f2_136 PO 31.65 0 NA NA NA 3 3 4117
f0_42 f1h_475 PO 31.51 0 NA NA NA 3 3 4117
f1h_141 f2_967 PO 31.38 0 NA NA NA 3 3 4117
f0_976 f1w_284 PO 31.22 0 NA NA NA 3 3 4117
f0_838 f1w_371 PO 31.19 0 NA NA NA 3 3 4117
f0_167 f1h_442 PO 31.13 0 NA NA NA 3 3 4117
f0_158 f1h_476 PO 31.11 0 NA NA NA 3 3 4117
f0_869 f1w_403 PO 31.08 0 NA NA NA 3 3 4117
f0_171 f1h_256 PO 31.02 0 NA NA NA 3 3 4117
f0_327 f1w_33 PO 30.9 0 NA NA NA 3 3 4117
f1h_55 f2_704 PO 30.83 0 NA NA NA 3 3 4117
f1w_431 f2_352 PO 30.8 0 NA NA NA 3 3 4117
f1w_124 f2_722 PO 30.79 0 NA NA NA 3 3 4117
f1h_170 f2_591 PO 30.76 0 NA NA NA 3 3 4117
f1h_342 f2_147 PO 30.73 0 NA NA NA 3 3 4117
f0_266 f1w_99 PO 30.68 0 NA NA NA 3 3 4117
f1w_207 f2_54 PO 30.57 0 NA NA NA 3 3 4117
f1w_27 f2_853 PO 30.56 0 NA NA NA 3 3 4117
f1w_408 f2_466 PO 30.5 0 NA NA NA 3 3 4117
f1w_129 f2_567 PO 30.46 0 NA NA NA 3 3 4117
f1h_287 f2_670 PO 30.45 0 NA NA NA 3 3 4117
f0_845 f1w_110 PO 30.42 0 NA NA NA 3 3 4117
f1h_157 f2_640 PO 30.4 0 NA NA NA 3 3 4117
f0_28 f1h_413 PO 30.39 0 NA NA NA 3 3 4117
f0_139 f1h_445 PO 30.38 0 NA NA NA 3 3 4117
f1h_416 f2_470 PO 30.31 0 NA NA NA 3 3 4117
f0_615 f1w_362 PO 30.27 0 NA NA NA 3 3 4117
f1w_82 f2_192 PO 30.27 0 NA NA NA 3 3 4117
f0_13 f1h_385 PO 30.26 0 NA NA NA 3 3 4117
f0_919 f1w_172 PO 30.25 0 NA NA NA 3 3 4117
f1w_371 f2_759 PO 30.25 0 NA NA NA 3 3 4117
f0_191 f1h_226 PO 30.23 0 NA NA NA 3 3 4117
f0_512 f1w_477 PO 30.22 0 NA NA NA 3 3 4117
f1w_251 f2_114 PO 30.2 0 NA NA NA 3 3 4117
f0_119 f1h_374 PO 30.19 0 NA NA NA 3 3 4117
f0_676 f1w_31 PO 30.19 0 NA NA NA 3 3 4117
f0_266 f1w_57 PO 30.15 0 NA NA NA 3 3 4117
f0_190 f1h_169 PO 30.14 0 NA NA NA 3 3 4117
f1h_222 f2_532 PO 30.14 0 NA NA NA 3 3 4117
f1w_379 f2_201 PO 30.07 0 NA NA NA 3 3 4117
f0_506 f1w_223 PO 30.04 0 NA NA NA 3 3 4117
f1w_195 f2_44 PO 30.03 0 NA NA NA 3 3 4117
f1h_162 f2_620 PO 30.03 0 NA NA NA 3 3 4117
f0_512 f1w_308 PO 30.02 0 NA NA NA 3 3 4117
f0_322 f1w_97 PO 30 0 NA NA NA 3 3 4117
f0_119 f1h_309 PO 29.99 0 NA NA NA 3 3 4117
f0_612 f1w_14 PO 29.97 0 NA NA NA 3 3 4117
f1w_99 f2_401 PO 29.97 0 NA NA NA 3 3 4117
f0_166 f1h_57 PO 29.95 0 NA NA NA 3 3 4117
f1w_298 f2_593 PO 29.93 0 NA NA NA 3 3 4117
f1w_247 f2_404 PO 29.92 0 NA NA NA 3 3 4117
f1h_24 f2_902 PO 29.92 0 NA NA NA 3 3 4117
f0_925 f1w_198 PO 29.91 0 NA NA NA 3 3 4117
f0_470 f1w_400 PO 29.91 0 NA NA NA 3 3 4117
f1w_169 f2_414 PO 29.89 0 NA NA NA 3 3 4117
f1h_423 f2_955 PO 29.85 0 NA NA NA 3 3 4117
f1h_157 f2_31 PO 29.84 0 NA NA NA 3 3 4117
f0_89 f1h_482 PO 29.83 0 NA NA NA 3 3 4117
f1w_364 f2_75 PO 29.83 0 NA NA NA 3 3 4117
f1h_348 f2_283 PO 29.82 0 NA NA NA 3 3 4117
f1h_256 f2_595 PO 29.82 0 NA NA NA 3 3 4117
f0_46 f1h_82 PO 29.8 0 NA NA NA 3 3 4117
f1h_269 f2_210 PO 29.8 0 NA NA NA 3 3 4117
f0_444 f1w_379 PO 29.79 0 NA NA NA 3 3 4117
f1w_492 f2_38 PO 29.79 0 NA NA NA 3 3 4117
f1w_254 f2_646 PO 29.79 0 NA NA NA 3 3 4117
f0_976 f1w_323 PO 29.78 0 NA NA NA 3 3 4117
f1w_489 f2_19 PO 29.78 0 NA NA NA 3 3 4117
f0_56 f1h_423 PO 29.75 0 NA NA NA 3 3 4117
f0_572 f1w_476 PO 29.75 0 NA NA NA 3 3 4117
f1w_281 f2_564 PO 29.73 0 NA NA NA 3 3 4117
f1h_19 f2_90 PO 29.73 0 NA NA NA 3 3 4117
f1w_108 f2_216 PO 29.71 0 NA NA NA 3 3 4117
f1h_437 f2_334 PO 29.71 0 NA NA NA 3 3 4117
f0_114 f1h_324 PO 29.68 0 NA NA NA 3 3 4117
f1h_330 f2_294 PO 29.68 0 NA NA NA 3 3 4117
f0_61 f1h_189 PO 29.67 0 NA NA NA 3 3 4117
f0_50 f1h_355 PO 29.67 0 NA NA NA 3 3 4117
f1w_61 f2_134 PO 29.66 0 NA NA NA 3 3 4117
f1h_63 f2_95 PO 29.66 0 NA NA NA 3 3 4117
f1h_416 f2_313 PO 29.65 0 NA NA NA 3 3 4117
f0_999 f1w_121 PO 29.64 0 NA NA NA 3 3 4117
f0_486 f1w_208 PO 29.64 0 NA NA NA 3 3 4117
f1w_27 f2_394 PO 29.64 0 NA NA NA 3 3 4117
f1h_102 f2_596 PO 29.64 0 NA NA NA 3 3 4117
f1w_295 f2_700 PO 29.64 0 NA NA NA 3 3 4117
f0_404 f1w_429 PO 29.6 0 NA NA NA 3 3 4117
f1h_60 f2_214 PO 29.6 0 NA NA NA 3 3 4117
f0_39 f1h_157 PO 29.59 0 NA NA NA 3 3 4117
