nloci wild_samp gen_cat TP FP
100 0.2 f0 0 467
100 0.2 f1h 183 231
100 0.2 f1w 35 372
100 0.2 f2 73 940
100 0.4 f0 0 1000
100 0.4 f1h 359 698
100 0.4 f1w 147 1086
100 0.4 f2 287 3197
100 0.6 f0 0 1610
100 0.6 f1h 532 1490
100 0.6 f1w 344 2247
100 0.6 f2 657 6280
100 0.8 f0 0 2417
100 0.8 f1h 705 2400
100 0.8 f1w 576 3279
100 0.8 f2 622 7081
100 1 f0 0 3549
100 1 f1h 924 3373
100 1 f1w 909 3822
100 1 f2 264 8159
500 0.2 f0 0 0
500 0.2 f1h 198 1
500 0.2 f1w 35 0
500 0.2 f2 89 1
500 0.4 f0 0 0
500 0.4 f1h 404 1
500 0.4 f1w 149 0
500 0.4 f2 345 2
500 0.6 f0 0 0
500 0.6 f1h 608 1
500 0.6 f1w 348 0
500 0.6 f2 715 4
500 0.8 f0 0 0
500 0.8 f1h 814 3
500 0.8 f1w 629 1
500 0.8 f2 1307 7
500 1 f0 0 0
500 1 f1h 1000 6
500 1 f1w 1000 1
500 1 f2 2000 7
1000 0.2 f0 0 0
1000 0.2 f1h 196 0
1000 0.2 f1w 44 0
1000 0.2 f2 94 0
1000 0.4 f0 0 0
1000 0.4 f1h 378 0
1000 0.4 f1w 176 0
1000 0.4 f2 326 0
1000 0.6 f0 0 0
1000 0.6 f1h 598 0
1000 0.6 f1w 383 0
1000 0.6 f2 733 0
1000 0.8 f0 0 0
1000 0.8 f1h 802 0
1000 0.8 f1w 670 0
1000 0.8 f2 1273 0
1000 1 f0 0 0
1000 1 f1h 1000 0
1000 1 f1w 1000 0
1000 1 f2 2000 0
5000 0.2 f0 0 0
5000 0.2 f1h 188 0
5000 0.2 f1w 27 0
5000 0.2 f2 75 0
5000 0.4 f0 0 0
5000 0.4 f1h 378 0
5000 0.4 f1w 161 0
5000 0.4 f2 293 0
5000 0.6 f0 0 0
5000 0.6 f1h 578 0
5000 0.6 f1w 350 0
5000 0.6 f2 692 0
5000 0.8 f0 0 0
5000 0.8 f1h 814 0
5000 0.8 f1w 606 0
5000 0.8 f2 1254 0
5000 1 f0 0 0
5000 1 f1h 1000 0
5000 1 f1w 1000 0
5000 1 f2 2000 0
10000 0.2 f0 0 0
10000 0.2 f1h 220 0
10000 0.2 f1w 40 0
10000 0.2 f2 85 0
10000 0.4 f0 0 0
10000 0.4 f1h 412 0
10000 0.4 f1w 156 0
10000 0.4 f2 319 0
10000 0.6 f0 0 0
10000 0.6 f1h 606 0
10000 0.6 f1w 359 0
10000 0.6 f2 725 0
10000 0.8 f0 0 0
10000 0.8 f1h 780 0
10000 0.8 f1w 648 0
10000 0.8 f2 1287 0
10000 1 f0 0 0
10000 1 f1h 1000 0
10000 1 f1w 1000 0
10000 1 f2 2000 0
