ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_28 f1h_413 PO 20.55 0 NA NA NA 3 3 2343
f0_42 f1h_475 PO 20.55 0 NA NA NA 3 3 2375
f1h_19 f2_90 PO 20.28 0 NA NA NA 3 3 2360
f1w_57 f2_432 PO 20.21 0 NA NA NA 3 3 2285
f1h_374 f2_461 PO 20.13 0 NA NA NA 3 3 2294
f1h_141 f2_967 PO 20.12 0 NA NA NA 3 3 2338
f0_976 f1w_284 PO 20.09 0 NA NA NA 3 3 2332
f0_158 f1h_476 PO 19.97 0 NA NA NA 3 3 2407
f0_856 f1w_482 PO 19.75 0 NA NA NA 3 3 2332
f1h_394 f2_275 PO 19.7 0 NA NA NA 3 3 2378
f0_144 f1h_324 PO 19.66 0 NA NA NA 3 3 2337
f1h_63 f2_796 PO 19.65 0 NA NA NA 3 3 2361
f0_46 f1h_82 PO 19.6 0 NA NA NA 3 3 2310
f0_611 f1w_78 PO 19.51 0 NA NA NA 3 3 2367
f1w_371 f2_759 PO 19.39 0 NA NA NA 3 3 2374
f0_61 f1h_448 PO 19.37 0 NA NA NA 3 3 2377
f0_28 f1h_24 PO 19.36 0 NA NA NA 3 3 2323
f1w_84 f2_750 PO 19.34 0 NA NA NA 3 3 2322
f0_190 f1h_169 PO 19.29 0 NA NA NA 3 3 2374
f0_75 f1h_191 PO 19.22 0 NA NA NA 3 3 2342
f0_780 f1w_77 PO 19.22 0 NA NA NA 3 3 2336
f1w_221 f2_669 PO 19.22 0 NA NA NA 3 3 2382
f0_200 f1h_191 PO 19.21 0 NA NA NA 3 3 2320
f0_4 f1h_147 PO 19.19 0 NA NA NA 3 3 2311
f0_133 f1h_469 PO 19.12 0 NA NA NA 3 3 2318
f1w_108 f2_216 PO 19.12 0 NA NA NA 3 3 2370
f0_572 f1w_476 PO 19.09 0 NA NA NA 3 3 2283
f1h_342 f2_147 PO 19.09 0 NA NA NA 3 3 2309
f0_904 f1w_164 PO 19.08 0 NA NA NA 3 3 2318
f0_700 f1w_3 PO 19.02 0 NA NA NA 3 3 2353
f1w_281 f2_564 PO 19.01 0 NA NA NA 3 3 2357
f1w_345 f2_113 PO 19 0 NA NA NA 3 3 2339
f1w_41 f2_764 PO 19 0 NA NA NA 3 3 2321
f0_326 f1w_442 PO 18.97 0 NA NA NA 3 3 2335
f0_199 f1h_422 PO 18.94 0 NA NA NA 3 3 2343
f0_312 f1w_310 PO 18.94 0 NA NA NA 3 3 2364
f0_845 f1w_225 PO 18.9 0 NA NA NA 3 3 2299
f1w_441 f2_668 PO 18.89 0 NA NA NA 3 3 2376
f1w_230 f2_762 PO 18.87 0 NA NA NA 3 3 2371
f0_85 f1h_165 PO 18.86 0 NA NA NA 3 3 2304
f1h_292 f2_410 PO 18.85 0 NA NA NA 3 3 2355
f0_74 f1h_292 PO 18.84 0 NA NA NA 3 3 2383
f0_685 f1w_358 PO 18.84 0 NA NA NA 3 3 2336
f1h_323 f2_117 PO 18.83 0 NA NA NA 3 3 2338
f1h_63 f2_95 PO 18.83 0 NA NA NA 3 3 2302
f0_838 f1w_371 PO 18.82 0 NA NA NA 3 3 2359
f1h_268 f2_102 PO 18.82 0 NA NA NA 3 3 2378
f0_571 f1w_496 PO 18.79 0 NA NA NA 3 3 2361
f0_137 f1h_124 PO 18.69 0 NA NA NA 3 3 2343
f1w_191 f2_491 PO 18.69 0 NA NA NA 3 3 2324
f1w_368 f2_234 PO 18.68 0 NA NA NA 3 3 2333
f1w_129 f2_567 PO 18.66 0 NA NA NA 3 3 2399
f0_167 f1h_176 PO 18.65 0 NA NA NA 3 3 2351
f1w_353 f2_55 PO 18.63 0 NA NA NA 3 3 2352
f0_133 f1h_151 PO 18.61 0 NA NA NA 3 3 2322
f1w_18 f2_425 PO 18.61 0 NA NA NA 3 3 2342
f1w_438 f2_60 PO 18.59 0 NA NA NA 3 3 2348
f0_178 f1h_202 PO 18.57 0 NA NA NA 3 3 2351
f0_183 f1h_229 PO 18.57 0 NA NA NA 3 3 2389
f1w_403 f2_636 PO 18.56 0 NA NA NA 3 3 2296
f1h_214 f2_929 PO 18.54 0 NA NA NA 3 3 2392
f0_504 f1w_451 PO 18.53 0 NA NA NA 3 3 2383
f0_29 f1h_2 PO 18.52 0 NA NA NA 3 3 2354
f0_910 f1w_451 PO 18.5 0 NA NA NA 3 3 2290
f1h_394 f2_382 PO 18.5 0 NA NA NA 3 3 2382
f1w_27 f2_903 PO 18.5 0 NA NA NA 3 3 2301
f0_218 f1w_479 PO 18.49 0 NA NA NA 3 3 2371
f0_676 f1w_31 PO 18.48 0 NA NA NA 3 3 2335
f0_644 f1w_58 PO 18.48 0 NA NA NA 3 3 2342
f1w_340 f2_409 PO 18.47 0 NA NA NA 3 3 2307
f1w_449 f2_732 PO 18.47 0 NA NA NA 3 3 2340
f1h_2 f2_411 PO 18.46 0 NA NA NA 3 3 2304
f1w_263 f2_643 PO 18.46 0 NA NA NA 3 3 2340
f0_483 f1w_26 PO 18.44 0 NA NA NA 3 3 2345
f1w_263 f2_211 PO 18.43 0 NA NA NA 3 3 2348
f0_5 f1h_448 PO 18.42 0 NA NA NA 3 3 2331
f1h_102 f2_596 PO 18.41 0 NA NA NA 3 3 2292
f0_62 f1h_93 PO 18.39 0 NA NA NA 3 3 2329
f1w_174 f2_724 PO 18.39 0 NA NA NA 3 3 2298
f1w_35 f2_897 PO 18.38 0 NA NA NA 3 3 2298
f0_85 f1h_373 PO 18.36 0 NA NA NA 3 3 2312
f1w_364 f2_75 PO 18.35 0 NA NA NA 3 3 2349
f0_144 f1h_374 PO 18.34 0 NA NA NA 3 3 2275
f0_925 f1w_198 PO 18.34 0 NA NA NA 3 3 2390
f1w_373 f2_556 PO 18.34 0 NA NA NA 3 3 2367
f0_182 f1h_460 PO 18.33 0 NA NA NA 3 3 2304
f0_136 f1h_302 PO 18.32 0 NA NA NA 3 3 2342
f0_376 f1w_372 PO 18.32 0 NA NA NA 3 3 2356
f0_176 f1h_257 PO 18.31 0 NA NA NA 3 3 2295
f0_228 f1w_438 PO 18.29 0 NA NA NA 3 3 2320
f0_252 f1w_18 PO 18.28 0 NA NA NA 3 3 2369
f0_12 f1h_499 PO 18.26 0 NA NA NA 3 3 2336
f1h_17 f2_870 PO 18.23 0 NA NA NA 3 3 2340
f1h_136 f2_824 PO 18.22 0 NA NA NA 3 3 2359
f1w_272 f2_458 PO 18.21 0 NA NA NA 3 3 2356
f0_470 f1w_400 PO 18.2 0 NA NA NA 3 3 2342
f1w_27 f2_394 PO 18.2 0 NA NA NA 3 3 2343
f1w_193 f2_897 PO 18.2 0 NA NA NA 3 3 2302
f0_487 f1w_251 PO 18.19 0 NA NA NA 3 3 2339
f0_666 f1w_127 PO 18.18 0 NA NA NA 3 3 2374
f0_452 f1w_191 PO 18.18 0 NA NA NA 3 3 2368
f1h_302 f2_366 PO 18.18 0 NA NA NA 3 3 2383
f1w_381 f2_873 PO 18.18 0 NA NA NA 3 3 2329
f1h_465 f2_658 PO 18.17 0 NA NA NA 3 3 2353
f1w_371 f2_971 PO 18.16 0 NA NA NA 3 3 2358
f0_55 f1h_298 PO 18.15 0 NA NA NA 3 3 2357
f0_806 f1w_474 PO 18.15 0 NA NA NA 3 3 2344
f0_56 f1h_423 PO 18.13 0 NA NA NA 3 3 2326
f1h_176 f2_143 PO 18.12 0 NA NA NA 3 3 2332
f1w_448 f2_57 PO 18.12 0 NA NA NA 3 3 2357
f1w_133 f2_527 PO 18.11 0 NA NA NA 3 3 2384
f0_141 f1h_122 PO 18.1 0 NA NA NA 3 3 2379
f1w_174 f2_438 PO 18.1 0 NA NA NA 3 3 2328
f0_36 f1h_224 PO 18.09 0 NA NA NA 3 3 2356
f1w_82 f2_192 PO 18.09 0 NA NA NA 3 3 2420
f0_910 f1w_370 PO 18.07 0 NA NA NA 3 3 2318
f1h_489 f2_428 PO 18.07 0 NA NA NA 3 3 2370
f1w_408 f2_466 PO 18.07 0 NA NA NA 3 3 2321
f0_486 f1w_208 PO 18.06 0 NA NA NA 3 3 2344
f1h_1 f2_874 PO 18.06 0 NA NA NA 3 3 2428
f0_127 f1h_291 PO 18.05 0 NA NA NA 3 3 2387
f1w_76 f2_601 PO 18.05 0 NA NA NA 3 3 2284
f0_35 f1h_434 PO 18.03 0 NA NA NA 3 3 2382
f0_8 f1h_57 PO 18.03 0 NA NA NA 3 3 2357
f0_845 f1w_110 PO 18.03 0 NA NA NA 3 3 2260
f0_750 f1w_440 PO 18.03 0 NA NA NA 3 3 2371
f1h_169 f2_71 PO 18.03 0 NA NA NA 3 3 2382
f0_278 f1w_386 PO 18.02 0 NA NA NA 3 3 2363
f1w_484 f2_973 PO 18.02 0 NA NA NA 3 3 2318
f1h_172 f2_933 PO 18.01 0 NA NA NA 3 3 2329
f1h_290 f2_817 PO 18 0 NA NA NA 3 3 2329
f1h_18 f2_914 PO 18 0 NA NA NA 3 3 2361
f0_85 f1h_430 PO 17.99 0 NA NA NA 3 3 2354
f0_111 f1h_74 PO 17.99 0 NA NA NA 3 3 2313
f0_188 f1h_78 PO 17.99 0 NA NA NA 3 3 2296
f0_947 f1w_152 PO 17.99 0 NA NA NA 3 3 2348
f0_50 f1h_311 PO 17.98 0 NA NA NA 3 3 2340
f0_83 f1h_391 PO 17.98 0 NA NA NA 3 3 2296
f1w_462 f2_11 PO 17.98 0 NA NA NA 3 3 2334
f0_118 f1h_104 PO 17.97 0 NA NA NA 3 3 2342
f1h_434 f2_118 PO 17.97 0 NA NA NA 3 3 2353
f0_43 f1h_118 PO 17.96 0 NA NA NA 3 3 2354
f1w_162 f2_874 PO 17.96 0 NA NA NA 3 3 2372
f0_162 f1h_7 PO 17.95 0 NA NA NA 3 3 2386
f0_683 f1w_141 PO 17.95 0 NA NA NA 3 3 2350
f0_240 f1w_441 PO 17.95 0 NA NA NA 3 3 2386
f1h_20 f2_473 PO 17.95 0 NA NA NA 3 3 2367
f1w_119 f2_515 PO 17.95 0 NA NA NA 3 3 2376
f1w_466 f2_738 PO 17.95 0 NA NA NA 3 3 2365
f1w_302 f2_994 PO 17.95 0 NA NA NA 3 3 2368
f0_114 f1h_324 PO 17.94 0 NA NA NA 3 3 2398
f0_248 f1w_381 PO 17.94 0 NA NA NA 3 3 2331
f1h_469 f2_183 PO 17.94 0 NA NA NA 3 3 2355
f1h_258 f2_216 PO 17.94 0 NA NA NA 3 3 2341
f1h_175 f2_490 PO 17.94 0 NA NA NA 3 3 2310
f1h_157 f2_640 PO 17.94 0 NA NA NA 3 3 2317
f1w_226 f2_857 PO 17.94 0 NA NA NA 3 3 2289
f0_105 f1h_493 PO 17.93 0 NA NA NA 3 3 2350
f0_80 f1h_253 PO 17.92 0 NA NA NA 3 3 2323
f0_41 f1h_377 PO 17.92 0 NA NA NA 3 3 2354
f0_80 f1h_341 PO 17.91 0 NA NA NA 3 3 2327
f1h_232 f2_15 PO 17.91 0 NA NA NA 3 3 2391
f1w_298 f2_593 PO 17.91 0 NA NA NA 3 3 2353
f0_114 f1h_187 PO 17.9 0 NA NA NA 3 3 2392
f0_167 f1h_351 PO 17.9 0 NA NA NA 3 3 2327
f0_82 f1h_481 PO 17.9 0 NA NA NA 3 3 2348
f0_82 f1h_76 PO 17.89 0 NA NA NA 3 3 2286
f0_992 f1w_84 PO 17.88 0 NA NA NA 3 3 2251
f1w_218 f2_821 PO 17.88 0 NA NA NA 3 3 2364
f0_970 f1w_315 PO 17.87 0 NA NA NA 3 3 2292
f1w_133 f2_340 PO 17.86 0 NA NA NA 3 3 2373
f0_171 f1h_256 PO 17.85 0 NA NA NA 3 3 2341
f1w_72 f2_645 PO 17.85 0 NA NA NA 3 3 2323
f0_246 f1w_232 PO 17.84 0 NA NA NA 3 3 2415
f1h_113 f2_948 PO 17.84 0 NA NA NA 3 3 2355
f0_799 f1w_251 PO 17.83 0 NA NA NA 3 3 2374
f1h_222 f2_532 PO 17.83 0 NA NA NA 3 3 2320
f1w_444 f2_784 PO 17.83 0 NA NA NA 3 3 2366
f1w_27 f2_923 PO 17.82 0 NA NA NA 3 3 2350
f0_114 f1h_326 PO 17.81 0 NA NA NA 3 3 2398
f1h_254 f2_229 PO 17.81 0 NA NA NA 3 3 2350
f1w_272 f2_128 PO 17.8 0 NA NA NA 3 3 2331
f1h_170 f2_591 PO 17.8 0 NA NA NA 3 3 2339
f0_129 f1h_129 PO 17.79 0 NA NA NA 3 3 2423
f0_25 f1h_180 PO 17.79 0 NA NA NA 3 3 2354
f1w_13 f2_439 PO 17.78 0 NA NA NA 3 3 2363
f1h_368 f2_667 PO 17.78 0 NA NA NA 3 3 2343
f0_10 f1h_3 PO 17.77 0 NA NA NA 3 3 2362
f0_140 f1h_3 PO 17.77 0 NA NA NA 3 3 2375
f1w_74 f2_208 PO 17.77 0 NA NA NA 3 3 2351
f1h_341 f2_801 PO 17.77 0 NA NA NA 3 3 2365
f1h_83 f2_919 PO 17.77 0 NA NA NA 3 3 2311
f0_928 f1w_186 PO 17.76 0 NA NA NA 3 3 2325
f0_185 f1h_159 PO 17.75 0 NA NA NA 3 3 2340
f0_134 f1h_350 PO 17.73 0 NA NA NA 3 3 2288
f0_129 f1h_410 PO 17.73 0 NA NA NA 3 3 2335
f0_120 f1h_469 PO 17.73 0 NA NA NA 3 3 2306
f1h_319 f2_197 PO 17.73 0 NA NA NA 3 3 2417
f0_63 f1h_316 PO 17.72 0 NA NA NA 3 3 2366
f1h_153 f2_462 PO 17.72 0 NA NA NA 3 3 2333
f0_876 f1w_386 PO 17.71 0 NA NA NA 3 3 2369
f1h_438 f2_357 PO 17.71 0 NA NA NA 3 3 2348
f0_312 f1w_401 PO 17.7 0 NA NA NA 3 3 2395
f1h_465 f2_746 PO 17.7 0 NA NA NA 3 3 2291
f0_34 f1h_11 PO 17.69 0 NA NA NA 3 3 2409
f1w_465 f2_16 PO 17.68 0 NA NA NA 3 3 2397
f1h_324 f2_482 PO 17.68 0 NA NA NA 3 3 2396
f1w_451 f2_7 PO 17.68 0 NA NA NA 3 3 2277
f0_104 f1h_127 PO 17.67 0 NA NA NA 3 3 2385
f0_52 f1h_489 PO 17.67 0 NA NA NA 3 3 2341
f0_99 f1h_59 PO 17.67 0 NA NA NA 3 3 2384
f0_537 f1w_319 PO 17.67 0 NA NA NA 3 3 2334
f0_219 f1w_373 PO 17.67 0 NA NA NA 3 3 2329
f1h_322 f2_405 PO 17.67 0 NA NA NA 3 3 2336
f1w_152 f2_599 PO 17.67 0 NA NA NA 3 3 2344
f1w_488 f2_985 PO 17.67 0 NA NA NA 3 3 2348
f0_122 f1h_144 PO 17.66 0 NA NA NA 3 3 2351
f1w_34 f2_813 PO 17.66 0 NA NA NA 3 3 2346
f1h_451 f2_86 PO 17.66 0 NA NA NA 3 3 2358
f0_138 f1h_5 PO 17.65 0 NA NA NA 3 3 2317
f1h_254 f2_533 PO 17.65 0 NA NA NA 3 3 2343
f0_857 f1w_390 PO 17.64 0 NA NA NA 3 3 2377
f1h_369 f2_792 PO 17.64 0 NA NA NA 3 3 2359
f0_192 f1h_133 PO 17.63 0 NA NA NA 3 3 2299
f0_558 f1w_105 PO 17.63 0 NA NA NA 3 3 2291
f0_820 f1w_225 PO 17.63 0 NA NA NA 3 3 2363
f0_14 f1h_51 PO 17.62 0 NA NA NA 3 3 2393
f0_510 f1w_363 PO 17.62 0 NA NA NA 3 3 2387
f1w_30 f2_383 PO 17.61 0 NA NA NA 3 3 2320
f0_40 f1h_319 PO 17.6 0 NA NA NA 3 3 2397
f0_54 f1h_292 PO 17.59 0 NA NA NA 3 3 2309
f0_129 f1h_423 PO 17.59 0 NA NA NA 3 3 2331
f0_99 f1h_65 PO 17.59 0 NA NA NA 3 3 2367
f0_40 f1h_63 PO 17.56 0 NA NA NA 3 3 2346
f0_793 f1w_52 PO 17.56 0 NA NA NA 3 3 2358
f1w_110 f2_165 PO 17.56 0 NA NA NA 3 3 2293
f1w_475 f2_848 PO 17.56 0 NA NA NA 3 3 2315
f0_144 f1h_29 PO 17.55 0 NA NA NA 3 3 2306
f1w_72 f2_310 PO 17.55 0 NA NA NA 3 3 2328
f1h_254 f2_16 PO 17.54 0 NA NA NA 3 3 2376
f1h_1 f2_593 PO 17.54 0 NA NA NA 3 3 2380
f1w_230 f2_649 PO 17.54 0 NA NA NA 3 3 2374
f0_119 f1h_358 PO 17.53 0 NA NA NA 3 3 2324
f0_184 f1h_84 PO 17.53 0 NA NA NA 3 3 2322
f0_994 f1w_248 PO 17.53 0 NA NA NA 3 3 2357
f1h_196 f2_921 PO 17.53 0 NA NA NA 3 3 2336
f0_119 f1h_374 PO 17.52 0 NA NA NA 3 3 2325
f0_873 f1w_343 PO 17.52 0 NA NA NA 3 3 2397
f1h_141 f2_721 PO 17.52 0 NA NA NA 3 3 2304
f0_820 f1w_102 PO 17.51 0 NA NA NA 3 3 2385
