ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f1w_61 f2_972 PO 2.91 0 NA NA NA 3 3 239
f0_651 f1w_236 PO 2.81 0 NA NA NA 3 3 226
f1h_63 f2_905 PO 2.76 0 NA NA NA 3 3 217
f1w_239 f2_943 PO 2.74 0 NA NA NA 3 3 241
f1w_474 f2_61 PO 2.73 0 NA NA NA 3 3 220
f1w_434 f2_878 PO 2.67 0 NA NA NA 3 3 219
f0_784 f1w_275 PO 2.62 0 NA NA NA 3 3 243
f1h_67 f2_483 PO 2.62 0 NA NA NA 3 3 222
f0_523 f1w_85 PO 2.56 0 NA NA NA 3 3 220
f0_848 f1w_190 PO 2.55 0 NA NA NA 3 3 256
f0_95 f1h_127 PO 2.51 0 NA NA NA 3 3 247
f0_274 f1w_321 PO 2.5 0 NA NA NA 3 3 226
f0_622 f1w_129 PO 2.48 0 NA NA NA 3 3 240
f0_705 f1w_270 PO 2.48 0 NA NA NA 3 3 225
f1h_319 f2_210 PO 2.48 0 NA NA NA 3 3 232
f0_136 f1h_234 PO 2.47 0 NA NA NA 3 3 224
f0_391 f1w_117 PO 2.47 0 NA NA NA 3 3 238
f1h_268 f2_232 PO 2.45 0 NA NA NA 3 3 249
f1h_219 f2_523 PO 2.44 0 NA NA NA 3 3 243
f0_348 f1w_95 PO 2.43 0 NA NA NA 3 3 226
f0_819 f1w_283 PO 2.42 0 NA NA NA 3 3 240
f1w_209 f2_627 PO 2.42 0 NA NA NA 3 3 232
f1w_415 f2_324 PO 2.41 0 NA NA NA 3 3 231
f1h_38 f2_364 PO 2.4 0 NA NA NA 3 3 239
f1h_344 f2_133 PO 2.39 0 NA NA NA 3 3 225
f0_137 f1h_495 PO 2.38 0 NA NA NA 3 3 230
f0_113 f1h_16 PO 2.36 0 NA NA NA 3 3 231
f1h_261 f2_625 PO 2.36 0 NA NA NA 3 3 242
f1w_337 f2_808 PO 2.36 0 NA NA NA 3 3 235
f1h_287 f2_511 PO 2.34 0 NA NA NA 3 3 225
f1w_183 f2_644 PO 2.32 0 NA NA NA 3 3 225
f1h_364 f2_910 PO 2.32 0 NA NA NA 3 3 229
f1w_270 f2_79 PO 2.31 0 NA NA NA 3 3 220
f0_188 f1h_36 PO 2.29 0 NA NA NA 3 3 225
f0_149 f1h_446 PO 2.28 0 NA NA NA 3 3 238
f0_189 f1h_457 PO 2.28 0 NA NA NA 3 3 233
f0_775 f1w_265 PO 2.28 0 NA NA NA 3 3 230
f0_100 f1h_112 PO 2.27 0 NA NA NA 3 3 263
f0_107 f1h_499 PO 2.27 0 NA NA NA 3 3 230
f0_958 f1w_2 PO 2.27 0 NA NA NA 3 3 243
f1h_110 f2_827 PO 2.27 0 NA NA NA 3 3 252
f0_33 f1h_242 PO 2.26 0 NA NA NA 3 3 241
f0_167 f1h_390 PO 2.26 0 NA NA NA 3 3 213
f1w_334 f2_53 PO 2.25 0 NA NA NA 3 3 226
f0_49 f1h_118 PO 2.23 0 NA NA NA 3 3 238
f0_696 f1w_308 PO 2.23 0 NA NA NA 3 3 235
f0_534 f1w_361 PO 2.23 0 NA NA NA 3 3 251
f1h_105 f2_538 PO 2.23 0 NA NA NA 3 3 252
f0_28 f1h_24 PO 2.22 0 NA NA NA 3 3 230
