"nloci","wild_samp","md","TP","FP","n_trios"
100,0.2,0.01,87,539,626
500,0.2,0.01,110,1,111
1000,0.2,0.01,114,1,115
5000,0.2,0.01,105,1,106
10000,0.2,0.01,126,1,127
100,0.4,0.01,6,1315,1321
500,0.4,0.01,310,3,313
1000,0.4,0.01,296,1,297
5000,0.4,0.01,274,1,275
10000,0.4,0.01,299,1,300
100,0.6,0.01,0,1881,1881
500,0.6,0.01,634,6,640
1000,0.6,0.01,647,1,648
5000,0.6,0.01,581,1,582
10000,0.6,0.01,633,1,634
100,0.8,0.01,0,2441,2441
500,0.8,0.01,1184,6,1190
1000,0.8,0.01,1185,1,1186
5000,0.8,0.01,1133,1,1134
10000,0.8,0.01,1162,1,1163
100,1,0.01,0,3001,3001
500,1,0.01,1998,7,2005
1000,1,0.01,2000,1,2001
5000,1,0.01,2000,1,2001
10000,1,0.01,2000,1,2001
100,0.2,0.05,0,761,761
500,0.2,0.05,110,2,112
1000,0.2,0.05,114,1,115
5000,0.2,0.05,105,1,106
10000,0.2,0.05,126,1,127
100,0.4,0.05,0,1321,1321
500,0.4,0.05,308,2,310
1000,0.4,0.05,296,1,297
5000,0.4,0.05,274,1,275
10000,0.4,0.05,299,1,300
100,0.6,0.05,0,1881,1881
500,0.6,0.05,634,7,641
1000,0.6,0.05,647,1,648
5000,0.6,0.05,581,1,582
10000,0.6,0.05,633,1,634
100,0.8,0.05,0,2441,2441
500,0.8,0.05,1184,11,1195
1000,0.8,0.05,1185,1,1186
5000,0.8,0.05,1133,1,1134
10000,0.8,0.05,1162,1,1163
100,1,0.05,0,3001,3001
500,1,0.05,1997,16,2013
1000,1,0.05,2000,1,2001
5000,1,0.05,2000,1,2001
10000,1,0.05,2000,1,2001
100,0.2,0.1,0,761,761
500,0.2,0.1,108,1,109
1000,0.2,0.1,114,1,115
5000,0.2,0.1,105,1,106
10000,0.2,0.1,126,1,127
100,0.4,0.1,0,1321,1321
500,0.4,0.1,308,4,312
1000,0.4,0.1,296,1,297
5000,0.4,0.1,274,1,275
10000,0.4,0.1,299,1,300
100,0.6,0.1,0,1881,1881
500,0.6,0.1,630,14,644
1000,0.6,0.1,647,1,648
5000,0.6,0.1,581,1,582
10000,0.6,0.1,633,1,634
100,0.8,0.1,0,2441,2441
500,0.8,0.1,1178,22,1200
1000,0.8,0.1,1185,1,1186
5000,0.8,0.1,1133,1,1134
10000,0.8,0.1,1162,1,1163
100,1,0.1,0,3001,3001
500,1,0.1,1993,45,2038
1000,1,0.1,2000,1,2001
5000,1,0.1,2000,1,2001
10000,1,0.1,2000,1,2001
100,0.2,0.25,0,761,761
500,0.2,0.25,105,8,113
1000,0.2,0.25,114,4,118
5000,0.2,0.25,105,1,106
10000,0.2,0.25,126,1,127
100,0.4,0.25,0,1321,1321
500,0.4,0.25,302,27,329
1000,0.4,0.25,296,8,304
5000,0.4,0.25,274,1,275
10000,0.4,0.25,299,1,300
100,0.6,0.25,0,1881,1881
500,0.6,0.25,616,66,682
1000,0.6,0.25,645,9,654
5000,0.6,0.25,581,1,582
10000,0.6,0.25,633,1,634
100,0.8,0.25,0,2441,2441
500,0.8,0.25,1146,134,1280
1000,0.8,0.25,1185,17,1202
5000,0.8,0.25,1133,1,1134
10000,0.8,0.25,1162,1,1163
100,1,0.25,0,3001,3001
500,1,0.25,1936,282,2218
1000,1,0.25,1998,32,2030
5000,1,0.25,2000,1,2001
10000,1,0.25,2000,1,2001
100,0.2,0.5,NA,NA,NA
500,0.2,0.5,NA,NA,NA
1000,0.2,0.5,NA,NA,NA
5000,0.2,0.5,NA,NA,NA
10000,0.2,0.5,NA,NA,NA
100,0.4,0.5,NA,NA,NA
500,0.4,0.5,NA,NA,NA
1000,0.4,0.5,NA,NA,NA
5000,0.4,0.5,NA,NA,NA
10000,0.4,0.5,NA,NA,NA
100,0.6,0.5,NA,NA,NA
500,0.6,0.5,NA,NA,NA
1000,0.6,0.5,NA,NA,NA
5000,0.6,0.5,NA,NA,NA
10000,0.6,0.5,NA,NA,NA
100,0.8,0.5,NA,NA,NA
500,0.8,0.5,NA,NA,NA
1000,0.8,0.5,NA,NA,NA
5000,0.8,0.5,NA,NA,NA
10000,0.8,0.5,NA,NA,NA
100,1,0.5,NA,NA,NA
500,1,0.5,NA,NA,NA
1000,1,0.5,NA,NA,NA
5000,1,0.5,NA,NA,NA
10000,1,0.5,NA,NA,NA
