"nloci","wild_samp","missing_data","generation","TP","FP","n_assignments"
100,0.2,0.01,"f0",284,2140,2424
500,0.2,0.01,"f0",322,2,324
1000,0.2,0.01,"f0",334,0,334
5000,0.2,0.01,"f0",290,0,290
10000,0.2,0.01,"f0",345,0,345
100,0.4,0.01,"f0",781,6379,7160
500,0.4,0.01,"f0",898,4,902
1000,0.4,0.01,"f0",880,0,880
5000,0.4,0.01,"f0",832,0,832
10000,0.4,0.01,"f0",887,0,887
100,0.6,0.01,"f0",1529,11631,13160
500,0.6,0.01,"f0",1670,6,1676
1000,0.6,0.01,"f0",1714,0,1714
5000,0.6,0.01,"f0",1620,0,1620
10000,0.6,0.01,"f0",1690,0,1690
100,0.8,0.01,"f0",1774,15306,17080
500,0.8,0.01,"f0",2750,11,2761
1000,0.8,0.01,"f0",2745,0,2745
5000,0.8,0.01,"f0",2674,0,2674
10000,0.8,0.01,"f0",2715,0,2715
100,1,0.01,"f0",1950,19050,21000
500,1,0.01,"f0",3998,17,4015
1000,1,0.01,"f0",4000,0,4000
5000,1,0.01,"f0",4000,0,4000
10000,1,0.01,"f0",4000,0,4000
100,0.2,0.05,"f0",282,2761,3043
500,0.2,0.05,"f0",322,3,325
1000,0.2,0.05,"f0",334,0,334
5000,0.2,0.05,"f0",290,0,290
10000,0.2,0.05,"f0",345,0,345
100,0.4,0.05,"f0",775,8402,9177
500,0.4,0.05,"f0",896,4,900
1000,0.4,0.05,"f0",880,0,880
5000,0.4,0.05,"f0",832,0,832
10000,0.4,0.05,"f0",887,0,887
100,0.6,0.05,"f0",1098,12062,13160
500,0.6,0.05,"f0",1670,9,1679
1000,0.6,0.05,"f0",1714,1,1715
5000,0.6,0.05,"f0",1620,0,1620
10000,0.6,0.05,"f0",1690,0,1690
100,0.8,0.05,"f0",1273,15807,17080
500,0.8,0.05,"f0",2748,16,2764
1000,0.8,0.05,"f0",2745,0,2745
5000,0.8,0.05,"f0",2674,0,2674
10000,0.8,0.05,"f0",2715,0,2715
100,1,0.05,"f0",1541,19459,21000
500,1,0.05,"f0",3997,17,4014
1000,1,0.05,"f0",4000,0,4000
5000,1,0.05,"f0",4000,0,4000
10000,1,0.05,"f0",4000,0,4000
100,0.2,0.1,"f0",276,3875,4151
500,0.2,0.1,"f0",320,1,321
1000,0.2,0.1,"f0",334,0,334
5000,0.2,0.1,"f0",290,0,290
10000,0.2,0.1,"f0",345,0,345
100,0.4,0.1,"f0",601,8639,9240
500,0.4,0.1,"f0",895,6,901
1000,0.4,0.1,"f0",880,0,880
5000,0.4,0.1,"f0",832,0,832
10000,0.4,0.1,"f0",887,0,887
100,0.6,0.1,"f0",801,12359,13160
500,0.6,0.1,"f0",1666,17,1683
1000,0.6,0.1,"f0",1714,0,1714
5000,0.6,0.1,"f0",1620,0,1620
10000,0.6,0.1,"f0",1690,0,1690
100,0.8,0.1,"f0",996,16084,17080
500,0.8,0.1,"f0",2744,33,2777
1000,0.8,0.1,"f0",2745,1,2746
5000,0.8,0.1,"f0",2674,0,2674
10000,0.8,0.1,"f0",2715,0,2715
100,1,0.1,"f0",1263,19737,21000
500,1,0.1,"f0",3993,28,4021
1000,1,0.1,"f0",4000,0,4000
5000,1,0.1,"f0",4000,0,4000
10000,1,0.1,"f0",4000,0,4000
100,0.2,0.25,"f0",177,5143,5320
500,0.2,0.25,"f0",317,13,330
1000,0.2,0.25,"f0",334,0,334
5000,0.2,0.25,"f0",290,0,290
10000,0.2,0.25,"f0",345,0,345
100,0.4,0.25,"f0",306,8934,9240
500,0.4,0.25,"f0",886,50,936
1000,0.4,0.25,"f0",880,1,881
5000,0.4,0.25,"f0",832,0,832
10000,0.4,0.25,"f0",887,0,887
100,0.6,0.25,"f0",456,12704,13160
500,0.6,0.25,"f0",1646,96,1742
1000,0.6,0.25,"f0",1711,4,1715
5000,0.6,0.25,"f0",1620,0,1620
10000,0.6,0.25,"f0",1690,0,1690
100,0.8,0.25,"f0",609,16471,17080
500,0.8,0.25,"f0",2708,132,2840
1000,0.8,0.25,"f0",2745,4,2749
5000,0.8,0.25,"f0",2674,0,2674
10000,0.8,0.25,"f0",2715,0,2715
100,1,0.25,"f0",769,20231,21000
500,1,0.25,"f0",3936,206,4142
1000,1,0.25,"f0",3998,3,4001
5000,1,0.25,"f0",4000,0,4000
10000,1,0.25,"f0",4000,0,4000
100,0.2,0.5,"f0",NA,NA,NA
