id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_104 f0_111 -6.47 6.47 145.11 0 0 0 6615 6653
f1h_2 f0_7 f0_143 5.8 -5.8 145.81 0 0 0 6739 6685
f1h_6 f0_8 f0_161 5.11 -5.11 140.98 0 0 0 6688 6692
f1h_9 f0_108 f0_198 -1.68 1.68 146.18 0 0 0 6638 6639
f1h_10 f0_110 f0_172 9.2 -9.2 140.81 0 0 0 6733 6695
f1h_16 f0_13 f0_87 0.89 -0.89 151.74 0 0 0 6677 6673
f1h_19 f0_4 f0_119 -7.06 7.06 147.5 0 0 0 6593 6669
f1h_21 f0_2 f0_184 -6.89 6.89 144.54 0 0 0 6694 6719
f1h_23 f0_87 f0_133 1.25 -1.25 150.49 0 0 0 6728 6710
f1h_24 f0_149 f0_156 -10.07 10.07 145.45 0 0 0 6697 6718
f1h_27 f0_188 f0_194 -10.04 10.04 144.76 0 0 0 6632 6664
f1h_29 f0_22 f0_142 -3.15 3.15 143.37 0 0 0 6665 6652
f1h_33 f0_110 f0_165 -1.73 1.73 146.96 0 0 0 6710 6674
f1h_35 f0_25 f0_47 0.61 -0.61 143.87 0 0 0 6636 6636
f1h_37 f0_37 f0_55 2.31 -2.31 145.09 0 0 0 6710 6723
f1h_38 f0_2 f0_182 -2.39 2.39 146.33 0 0 0 6661 6622
f1h_39 f0_75 f0_142 -4.69 4.69 146.07 0 0 0 6745 6686
f1h_41 f0_39 f0_168 5.4 -5.4 147.26 0 0 0 6710 6679
f1h_43 f0_48 f0_65 3.13 -3.13 144.87 0 0 0 6656 6640
f1h_44 f0_89 f0_160 -12.89 12.89 136.52 0 0 0 6633 6694
f1h_46 f0_88 f0_159 -4.3 4.3 146.2 0 0 0 6629 6675
f1h_48 f0_122 f0_127 -5.51 5.51 146.71 0 0 0 6641 6698
f1h_52 f0_99 f0_135 7.27 -7.27 142.78 0 0 0 6720 6756
f1h_56 f0_97 f0_174 12.63 -12.63 139.7 0 0 0 6657 6655
f1h_57 f0_95 f0_124 6.03 -6.03 146.5 0 0 0 6689 6742
f1h_60 f0_120 f0_175 10.97 -10.97 144.18 0 0 0 6747 6742
f1h_67 f0_59 f0_79 -3.83 3.83 146.76 0 0 0 6651 6678
f1h_68 f0_74 f0_118 -0.71 0.71 148.42 0 0 0 6709 6639
f1h_69 f0_42 f0_63 2.22 -2.22 150.96 0 0 0 6747 6717
f1h_71 f0_41 f0_75 7.18 -7.18 151.15 0 0 0 6663 6705
f1h_79 f0_24 f0_67 1.6 -1.6 153.37 0 0 0 6747 6707
f1h_81 f0_60 f0_102 -2.04 2.04 144.33 0 0 0 6671 6662
