id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f0_2 f1h_425 f2_94 -0.6 0.6 1.11 0 0 0 77 79
f0_3 f1h_329 f1h_349 0.36 -0.36 1.85 0 0 0 79 79
f0_3 f1h_329 f2_907 0.51 -0.51 1.81 0 0 0 79 80
f0_4 f0_213 f0_715 -0.46 0.46 0.67 0 0 0 80 79
f0_4 f0_213 f1h_369 -0.15 0.15 0.39 0 0 0 80 80
f0_4 f0_213 f1h_433 -0.56 0.56 0.59 0 0 0 80 79
f0_4 f0_213 f1w_423 0.07 -0.07 1.07 0 0 0 80 79
f0_4 f0_213 f1w_493 -0.45 0.45 0.54 0 0 0 80 78
f0_4 f0_213 f2_91 0.2 -0.2 0.66 0 0 0 80 79
f0_4 f0_213 f2_326 -0.04 0.04 0.82 0 0 0 80 80
f0_4 f0_340 f0_599 0.15 -0.15 0.96 0 0 0 80 80
f0_4 f0_340 f0_668 0.42 -0.42 0.73 0 0 0 80 80
f0_4 f0_340 f1h_171 0.23 -0.23 0.94 0 0 0 80 79
f0_4 f0_524 f1h_68 -0.18 0.18 1.22 0 0 0 80 78
f0_4 f0_668 f1h_369 -0.23 0.23 0.73 0 0 0 80 80
f0_4 f0_949 f2_685 0.04 -0.04 0.77 0 0 0 80 77
f0_4 f1h_137 f1h_161 -0.05 0.05 0.62 0 0 0 78 79
f0_4 f1h_161 f2_287 -0.02 0.02 0.72 0 0 0 79 78
f0_4 f1h_161 f2_685 -0.44 0.44 -0.39 0 0 0 79 77
f0_4 f1h_166 f2_326 -0.1 0.1 1.12 0 0 0 80 80
f0_4 f1h_387 f1w_184 -0.02 0.02 1.26 0 0 0 80 80
f0_4 f1h_387 f2_685 0.09 -0.09 0.84 0 0 0 80 77
f0_4 f2_287 f2_685 0.37 -0.37 0.58 0 0 0 78 77
f0_5 f0_233 f1h_69 0.68 -0.68 0.34 0 0 0 80 80
f0_5 f0_989 f1h_69 1.41 -1.41 0.75 0 0 0 79 80
f0_5 f1h_69 f1h_158 -0.83 0.83 0.7 0 0 0 80 79
f0_5 f1h_69 f1h_216 -0.04 0.04 0.52 0 0 0 80 75
f0_5 f1h_69 f2_129 -0.45 0.45 0.97 0 0 0 80 80
f0_5 f1h_69 f2_760 -0.73 0.73 0.8 0 0 0 80 80
f0_6 f0_84 f1h_361 0.17 -0.17 0.68 0 0 0 79 79
f0_6 f0_84 f2_180 0.34 -0.34 0.95 0 0 0 79 75
f0_6 f0_147 f2_710 -0.25 0.25 0.71 0 0 0 79 79
f0_6 f0_147 f2_839 0.04 -0.04 0.89 0 0 0 79 78
f0_6 f0_157 f0_335 0.69 -0.69 0.47 0 0 0 78 78
